  Iteration information for myTAO_ solve.
320 TAO,  Function value: 0.0207417,  Residual: 4.49519e-05 
321 TAO,  Function value: 0.0207411,  Residual: 3.88466e-05 
322 TAO,  Function value: 0.0207408,  Residual: 3.87357e-05 
323 TAO,  Function value: 0.0207406,  Residual: 3.78272e-05 
324 TAO,  Function value: 0.0207406,  Residual: 3.98831e-05 
325 TAO,  Function value: 0.0207405,  Residual: 3.5036e-05 
326 TAO,  Function value: 0.02074,  Residual: 3.47802e-05 
327 TAO,  Function value: 0.0207392,  Residual: 3.46314e-05 
328 TAO,  Function value: 0.0207388,  Residual: 3.4205e-05 
329 TAO,  Function value: 0.0207385,  Residual: 3.404e-05 
330 TAO,  Function value: 0.0207382,  Residual: 3.3862e-05 
331 TAO,  Function value: 0.0207381,  Residual: 3.37223e-05 
332 TAO,  Function value: 0.0207381,  Residual: 6.62372e-06 
333 TAO,  Function value: 0.020738,  Residual: 6.49884e-06 
334 TAO,  Function value: 0.020738,  Residual: 3.37235e-05 
335 TAO,  Function value: 0.0207379,  Residual: 6.34257e-06 
336 TAO,  Function value: 0.0207379,  Residual: 6.20235e-06 
337 TAO,  Function value: 0.0207378,  Residual: 6.16126e-06 
338 TAO,  Function value: 0.0207378,  Residual: 6.19472e-06 
339 TAO,  Function value: 0.0207377,  Residual: 6.08745e-06 
340 TAO,  Function value: 0.0207377,  Residual: 6.04591e-06 
341 TAO,  Function value: 0.0207376,  Residual: 6.03622e-06 
342 TAO,  Function value: 0.0207375,  Residual: 6.04964e-06 
343 TAO,  Function value: 0.0207374,  Residual: 6.11414e-06 
344 TAO,  Function value: 0.0207373,  Residual: 6.1777e-06 
345 TAO,  Function value: 0.0207372,  Residual: 6.32142e-06 
346 TAO,  Function value: 0.0207371,  Residual: 6.516e-06 
347 TAO,  Function value: 0.020737,  Residual: 6.55701e-06 
348 TAO,  Function value: 0.0207369,  Residual: 6.63448e-06 
349 TAO,  Function value: 0.0207368,  Residual: 6.75612e-06 
350 TAO,  Function value: 0.0207367,  Residual: 6.56108e-06 
351 TAO,  Function value: 0.0207367,  Residual: 6.47795e-06 
352 TAO,  Function value: 0.0207366,  Residual: 6.43896e-06 
353 TAO,  Function value: 0.0207366,  Residual: 6.53562e-06 
354 TAO,  Function value: 0.0207365,  Residual: 6.51173e-06 
355 TAO,  Function value: 0.0207364,  Residual: 6.62614e-06 
356 TAO,  Function value: 0.0207363,  Residual: 6.74251e-06 
357 TAO,  Function value: 0.0207363,  Residual: 7.08055e-06 
358 TAO,  Function value: 0.0207361,  Residual: 6.85363e-06 
359 TAO,  Function value: 0.0207361,  Residual: 6.74009e-06 
360 TAO,  Function value: 0.020736,  Residual: 6.64189e-06 
361 TAO,  Function value: 0.0207359,  Residual: 6.7854e-06 
362 TAO,  Function value: 0.0207358,  Residual: 6.67713e-06 
363 TAO,  Function value: 0.0207357,  Residual: 6.81081e-06 
364 TAO,  Function value: 0.0207356,  Residual: 6.98366e-06 
365 TAO,  Function value: 0.0207355,  Residual: 7.42183e-06 
366 TAO,  Function value: 0.0207354,  Residual: 7.3073e-06 
367 TAO,  Function value: 0.0207353,  Residual: 7.21168e-06 
368 TAO,  Function value: 0.0207352,  Residual: 7.15223e-06 
369 TAO,  Function value: 0.0207351,  Residual: 7.57983e-06 
370 TAO,  Function value: 0.0207349,  Residual: 7.20515e-06 
371 TAO,  Function value: 0.0207348,  Residual: 7.17405e-06 
372 TAO,  Function value: 0.0207347,  Residual: 7.22461e-06 
373 TAO,  Function value: 0.0207345,  Residual: 7.30139e-06 
374 TAO,  Function value: 0.0207344,  Residual: 7.16791e-06 
375 TAO,  Function value: 0.0207342,  Residual: 6.99752e-06 
376 TAO,  Function value: 0.0207339,  Residual: 6.72706e-06 
377 TAO,  Function value: 0.0207337,  Residual: 6.72601e-06 
378 TAO,  Function value: 0.0207334,  Residual: 6.44146e-06 
379 TAO,  Function value: 0.0207331,  Residual: 6.45981e-06 
380 TAO,  Function value: 0.020733,  Residual: 6.61452e-06 
381 TAO,  Function value: 0.0207329,  Residual: 6.86131e-06 
382 TAO,  Function value: 0.0207328,  Residual: 6.81768e-06 
383 TAO,  Function value: 0.0207327,  Residual: 6.7645e-06 
384 TAO,  Function value: 0.0207325,  Residual: 6.74739e-06 
385 TAO,  Function value: 0.0207324,  Residual: 6.71095e-06 
386 TAO,  Function value: 0.0207323,  Residual: 6.63268e-06 
387 TAO,  Function value: 0.0207322,  Residual: 6.6171e-06 
388 TAO,  Function value: 0.0207321,  Residual: 6.66354e-06 
389 TAO,  Function value: 0.0207319,  Residual: 6.60303e-06 
390 TAO,  Function value: 0.0207318,  Residual: 6.60041e-06 
391 TAO,  Function value: 0.0207316,  Residual: 6.72679e-06 
392 TAO,  Function value: 0.0207315,  Residual: 6.68965e-06 
393 TAO,  Function value: 0.0207313,  Residual: 6.69684e-06 
394 TAO,  Function value: 0.0207312,  Residual: 6.83899e-06 
395 TAO,  Function value: 0.0207311,  Residual: 6.92028e-06 
396 TAO,  Function value: 0.020731,  Residual: 6.87926e-06 
397 TAO,  Function value: 0.0207309,  Residual: 6.85088e-06 
398 TAO,  Function value: 0.0207308,  Residual: 6.95722e-06 
399 TAO,  Function value: 0.0207306,  Residual: 6.97442e-06 
400 TAO,  Function value: 0.0207305,  Residual: 6.92099e-06 
401 TAO,  Function value: 0.0207303,  Residual: 6.95591e-06 
402 TAO,  Function value: 0.0207302,  Residual: 7.00064e-06 
403 TAO,  Function value: 0.02073,  Residual: 6.92534e-06 
404 TAO,  Function value: 0.0207298,  Residual: 6.94148e-06 
405 TAO,  Function value: 0.0207296,  Residual: 6.98495e-06 
406 TAO,  Function value: 0.0207295,  Residual: 6.87244e-06 
407 TAO,  Function value: 0.0207292,  Residual: 6.73716e-06 
408 TAO,  Function value: 0.0207291,  Residual: 6.73539e-06 
409 TAO,  Function value: 0.0207289,  Residual: 6.59123e-06 
410 TAO,  Function value: 0.0207287,  Residual: 6.51919e-06 
411 TAO,  Function value: 0.0207286,  Residual: 6.36851e-06 
412 TAO,  Function value: 0.0207285,  Residual: 6.19374e-06 
413 TAO,  Function value: 0.0207284,  Residual: 6.03241e-06 
414 TAO,  Function value: 0.0207283,  Residual: 5.89844e-06 
415 TAO,  Function value: 0.0207282,  Residual: 5.83598e-06 
416 TAO,  Function value: 0.0207281,  Residual: 5.7465e-06 
417 TAO,  Function value: 0.0207281,  Residual: 5.68917e-06 
418 TAO,  Function value: 0.020728,  Residual: 5.64367e-06 
419 TAO,  Function value: 0.0207279,  Residual: 5.59639e-06 
420 TAO,  Function value: 0.0207278,  Residual: 5.47893e-06 
421 TAO,  Function value: 0.0207277,  Residual: 5.365e-06 
422 TAO,  Function value: 0.0207277,  Residual: 5.31202e-06 
423 TAO,  Function value: 0.0207276,  Residual: 5.25072e-06 
424 TAO,  Function value: 0.0207276,  Residual: 5.218e-06 
425 TAO,  Function value: 0.0207275,  Residual: 5.19246e-06 
426 TAO,  Function value: 0.0207275,  Residual: 5.19409e-06 
