  Iteration information for myTAO_ solve.
318 TAO,  Function value: 0.0205062,  Residual: 0.000146128 
319 TAO,  Function value: 0.0205062,  Residual: 0.000146127 
320 TAO,  Function value: 0.0205062,  Residual: 1.54242e-06 
321 TAO,  Function value: 0.0205061,  Residual: 2.22865e-05 
322 TAO,  Function value: 0.0205061,  Residual: 0.000146119 
323 TAO,  Function value: 0.0205061,  Residual: 0.000147773 
324 TAO,  Function value: 0.0205061,  Residual: 1.73182e-05 
325 TAO,  Function value: 0.0205061,  Residual: 2.29488e-05 
326 TAO,  Function value: 0.0205061,  Residual: 3.58392e-05 
327 TAO,  Function value: 0.0205061,  Residual: 3.42192e-05 
328 TAO,  Function value: 0.0205061,  Residual: 3.60869e-05 
329 TAO,  Function value: 0.0205061,  Residual: 1.63462e-05 
330 TAO,  Function value: 0.0205061,  Residual: 2.32503e-05 
331 TAO,  Function value: 0.0205061,  Residual: 3.98465e-06 
332 TAO,  Function value: 0.0205061,  Residual: 2.01419e-05 
333 TAO,  Function value: 0.0205061,  Residual: 2.42743e-05 
334 TAO,  Function value: 0.020506,  Residual: 2.06684e-05 
335 TAO,  Function value: 0.020506,  Residual: 2.18731e-05 
336 TAO,  Function value: 0.0205058,  Residual: 1.37817e-05 
337 TAO,  Function value: 0.0205056,  Residual: 1.05316e-05 
338 TAO,  Function value: 0.0205051,  Residual: 9.30233e-06 
339 TAO,  Function value: 0.0205049,  Residual: 1.09584e-06 
340 TAO,  Function value: 0.0205047,  Residual: 1.50768e-06 
341 TAO,  Function value: 0.0205046,  Residual: 2.56823e-06 
342 TAO,  Function value: 0.0205044,  Residual: 1.34598e-06 
343 TAO,  Function value: 0.0205042,  Residual: 1.50686e-06 
344 TAO,  Function value: 0.0205039,  Residual: 2.17906e-06 
345 TAO,  Function value: 0.0205037,  Residual: 2.84101e-06 
346 TAO,  Function value: 0.0205037,  Residual: 2.80553e-06 
347 TAO,  Function value: 0.0205034,  Residual: 2.72579e-06 
348 TAO,  Function value: 0.0205031,  Residual: 2.75881e-06 
349 TAO,  Function value: 0.0205031,  Residual: 3.1071e-06 
350 TAO,  Function value: 0.020503,  Residual: 3.04403e-06 
351 TAO,  Function value: 0.0205026,  Residual: 2.58627e-06 
352 TAO,  Function value: 0.0205021,  Residual: 2.4469e-06 
353 TAO,  Function value: 0.0205018,  Residual: 2.84474e-06 
354 TAO,  Function value: 0.0205015,  Residual: 2.95532e-06 
355 TAO,  Function value: 0.0205011,  Residual: 3.2125e-06 
356 TAO,  Function value: 0.0205006,  Residual: 3.83257e-06 
357 TAO,  Function value: 0.0205005,  Residual: 4.53582e-06 
358 TAO,  Function value: 0.0205005,  Residual: 4.35476e-06 
359 TAO,  Function value: 0.0205003,  Residual: 4.13615e-06 
360 TAO,  Function value: 0.0204995,  Residual: 3.6522e-06 
361 TAO,  Function value: 0.020499,  Residual: 3.85041e-06 
362 TAO,  Function value: 0.0204985,  Residual: 3.66871e-06 
363 TAO,  Function value: 0.0204979,  Residual: 3.58949e-06 
364 TAO,  Function value: 0.0204974,  Residual: 3.76038e-06 
365 TAO,  Function value: 0.0204972,  Residual: 3.65361e-06 
366 TAO,  Function value: 0.0204968,  Residual: 3.04146e-06 
367 TAO,  Function value: 0.0204961,  Residual: 0.000148126 
368 TAO,  Function value: 0.020496,  Residual: 2.72988e-06 
369 TAO,  Function value: 0.020496,  Residual: 2.15864e-06 
370 TAO,  Function value: 0.020496,  Residual: 4.73179e-06 
371 TAO,  Function value: 0.0204959,  Residual: 4.45534e-06 
372 TAO,  Function value: 0.0204959,  Residual: 3.82543e-06 
373 TAO,  Function value: 0.0204959,  Residual: 3.804e-06 
374 TAO,  Function value: 0.0204957,  Residual: 0.000148055 
375 TAO,  Function value: 0.0204956,  Residual: 0.000148043 
376 TAO,  Function value: 0.0204956,  Residual: 2.90688e-06 
377 TAO,  Function value: 0.0204956,  Residual: 3.71601e-05 
378 TAO,  Function value: 0.0204954,  Residual: 0.000130562 
379 TAO,  Function value: 0.0204954,  Residual: 0.000146713 
380 TAO,  Function value: 0.0204954,  Residual: 8.25708e-05 
381 TAO,  Function value: 0.0204954,  Residual: 8.23113e-05 
382 TAO,  Function value: 0.0204953,  Residual: 3.18816e-05 
383 TAO,  Function value: 0.0204953,  Residual: 3.97686e-05 
384 TAO,  Function value: 0.0204953,  Residual: 3.35524e-05 
385 TAO,  Function value: 0.0204953,  Residual: 1.42219e-06 
386 TAO,  Function value: 0.0204953,  Residual: 0.000144129 
387 TAO,  Function value: 0.0204953,  Residual: 0.000144127 
388 TAO,  Function value: 0.0204952,  Residual: 1.86589e-05 
389 TAO,  Function value: 0.0204952,  Residual: 6.69024e-05 
390 TAO,  Function value: 0.0204952,  Residual: 0.000126834 
391 TAO,  Function value: 0.0204952,  Residual: 0.000128548 
392 TAO,  Function value: 0.0204952,  Residual: 3.39323e-05 
393 TAO,  Function value: 0.0204952,  Residual: 4.29465e-05 
394 TAO,  Function value: 0.0204952,  Residual: 3.60299e-05 
395 TAO,  Function value: 0.0204952,  Residual: 1.09514e-06 
396 TAO,  Function value: 0.0204952,  Residual: 0.000143528 
397 TAO,  Function value: 0.0204952,  Residual: 0.000147963 
398 TAO,  Function value: 0.0204951,  Residual: 0.000143578 
399 TAO,  Function value: 0.0204951,  Residual: 0.000143588 
400 TAO,  Function value: 0.0204951,  Residual: 0.000143485 
401 TAO,  Function value: 0.0204951,  Residual: 2.29538e-06 
402 TAO,  Function value: 0.020495,  Residual: 2.10882e-05 
403 TAO,  Function value: 0.020495,  Residual: 2.15508e-05 
404 TAO,  Function value: 0.020495,  Residual: 3.74298e-06 
405 TAO,  Function value: 0.020495,  Residual: 1.6322e-05 
406 TAO,  Function value: 0.020495,  Residual: 1.58472e-05 
407 TAO,  Function value: 0.020495,  Residual: 1.26394e-05 
408 TAO,  Function value: 0.020495,  Residual: 1.71125e-05 
409 TAO,  Function value: 0.020495,  Residual: 1.58275e-05 
410 TAO,  Function value: 0.020495,  Residual: 1.0409e-05 
411 TAO,  Function value: 0.0204949,  Residual: 1.45891e-05 
412 TAO,  Function value: 0.0204948,  Residual: 1.13576e-05 
413 TAO,  Function value: 0.0204947,  Residual: 1.14762e-05 
414 TAO,  Function value: 0.0204945,  Residual: 1.33035e-05 
415 TAO,  Function value: 0.0204943,  Residual: 8.56124e-06 
416 TAO,  Function value: 0.0204941,  Residual: 8.45953e-06 
417 TAO,  Function value: 0.0204939,  Residual: 8.49704e-06 
418 TAO,  Function value: 0.0204937,  Residual: 8.46425e-06 
419 TAO,  Function value: 0.0204937,  Residual: 8.15515e-06 
420 TAO,  Function value: 0.0204937,  Residual: 8.50658e-06 
421 TAO,  Function value: 0.0204936,  Residual: 8.07572e-06 
422 TAO,  Function value: 0.0204934,  Residual: 7.11378e-06 
423 TAO,  Function value: 0.0204933,  Residual: 2.91348e-06 
