  Iteration information for myTAO_ solve.
273 TAO,  Function value: 0.0206893,  Residual: 2.69328e-06 
274 TAO,  Function value: 0.0206893,  Residual: 2.67847e-06 
275 TAO,  Function value: 0.0206893,  Residual: 2.67861e-06 
276 TAO,  Function value: 0.0206893,  Residual: 2.70745e-06 
277 TAO,  Function value: 0.0206892,  Residual: 2.91369e-06 
278 TAO,  Function value: 0.0206892,  Residual: 3.1816e-06 
279 TAO,  Function value: 0.0206891,  Residual: 3.23042e-06 
280 TAO,  Function value: 0.0206891,  Residual: 3.38515e-06 
281 TAO,  Function value: 0.0206891,  Residual: 3.39027e-06 
282 TAO,  Function value: 0.0206891,  Residual: 3.3313e-06 
283 TAO,  Function value: 0.0206891,  Residual: 3.31727e-06 
284 TAO,  Function value: 0.0206891,  Residual: 3.30683e-06 
285 TAO,  Function value: 0.020689,  Residual: 3.2738e-06 
286 TAO,  Function value: 0.020689,  Residual: 3.23368e-06 
287 TAO,  Function value: 0.0206889,  Residual: 3.1949e-06 
288 TAO,  Function value: 0.0206889,  Residual: 3.13205e-06 
289 TAO,  Function value: 0.0206889,  Residual: 3.08519e-06 
290 TAO,  Function value: 0.0206889,  Residual: 3.03409e-06 
291 TAO,  Function value: 0.0206888,  Residual: 2.99196e-06 
292 TAO,  Function value: 0.0206888,  Residual: 2.95404e-06 
293 TAO,  Function value: 0.0206888,  Residual: 2.92109e-06 
294 TAO,  Function value: 0.0206888,  Residual: 2.90466e-06 
295 TAO,  Function value: 0.0206888,  Residual: 2.87718e-06 
296 TAO,  Function value: 0.0206888,  Residual: 2.88339e-06 
297 TAO,  Function value: 0.0206888,  Residual: 2.85135e-06 
298 TAO,  Function value: 0.0206888,  Residual: 2.83589e-06 
299 TAO,  Function value: 0.0206887,  Residual: 2.82791e-06 
300 TAO,  Function value: 0.0206887,  Residual: 2.82122e-06 
301 TAO,  Function value: 0.0206887,  Residual: 2.84392e-06 
302 TAO,  Function value: 0.0206887,  Residual: 2.78814e-06 
303 TAO,  Function value: 0.0206887,  Residual: 2.77288e-06 
304 TAO,  Function value: 0.0206887,  Residual: 2.76976e-06 
305 TAO,  Function value: 0.0206887,  Residual: 2.8576e-06 
306 TAO,  Function value: 0.0206886,  Residual: 2.757e-06 
307 TAO,  Function value: 0.0206886,  Residual: 2.73998e-06 
308 TAO,  Function value: 0.0206886,  Residual: 2.71986e-06 
309 TAO,  Function value: 0.0206886,  Residual: 2.73852e-06 
