  Iteration information for myTAO_ solve.
263 TAO,  Function value: 0.0823971,  Residual: 2.93978e-05 
264 TAO,  Function value: 0.0823952,  Residual: 3.02637e-05 
265 TAO,  Function value: 0.0823832,  Residual: 2.89504e-05 
266 TAO,  Function value: 0.0823709,  Residual: 2.84708e-05 
267 TAO,  Function value: 0.0823619,  Residual: 2.99945e-05 
268 TAO,  Function value: 0.0823605,  Residual: 3.19165e-05 
269 TAO,  Function value: 0.0823507,  Residual: 3.01388e-05 
270 TAO,  Function value: 0.0823373,  Residual: 2.9178e-05 
271 TAO,  Function value: 0.0823241,  Residual: 2.93934e-05 
272 TAO,  Function value: 0.0823168,  Residual: 3.25149e-05 
273 TAO,  Function value: 0.0823014,  Residual: 3.16815e-05 
274 TAO,  Function value: 0.0822936,  Residual: 3.6402e-05 
275 TAO,  Function value: 0.0822879,  Residual: 3.61378e-05 
276 TAO,  Function value: 0.0822789,  Residual: 3.4644e-05 
277 TAO,  Function value: 0.0822648,  Residual: 3.23837e-05 
278 TAO,  Function value: 0.0822489,  Residual: 3.08104e-05 
279 TAO,  Function value: 0.0822427,  Residual: 3.17502e-05 
280 TAO,  Function value: 0.0822298,  Residual: 2.75333e-05 
281 TAO,  Function value: 0.0822172,  Residual: 2.59713e-05 
282 TAO,  Function value: 0.0822161,  Residual: 2.77755e-05 
283 TAO,  Function value: 0.0822131,  Residual: 2.74624e-05 
284 TAO,  Function value: 0.0822032,  Residual: 2.51997e-05 
285 TAO,  Function value: 0.0821907,  Residual: 2.56841e-05 
286 TAO,  Function value: 0.0821844,  Residual: 2.50193e-05 
287 TAO,  Function value: 0.0821771,  Residual: 2.34643e-05 
288 TAO,  Function value: 0.0821667,  Residual: 2.23734e-05 
289 TAO,  Function value: 0.0821614,  Residual: 2.32503e-05 
290 TAO,  Function value: 0.0821585,  Residual: 2.42924e-05 
291 TAO,  Function value: 0.0821558,  Residual: 2.4655e-05 
292 TAO,  Function value: 0.0821532,  Residual: 2.44244e-05 
293 TAO,  Function value: 0.0821482,  Residual: 2.42092e-05 
294 TAO,  Function value: 0.0821446,  Residual: 2.47183e-05 
295 TAO,  Function value: 0.0821415,  Residual: 2.50447e-05 
296 TAO,  Function value: 0.0821334,  Residual: 2.17309e-05 
297 TAO,  Function value: 0.0821245,  Residual: 1.93898e-05 
298 TAO,  Function value: 0.0821205,  Residual: 2.08948e-05 
299 TAO,  Function value: 0.0821135,  Residual: 2.05157e-05 
300 TAO,  Function value: 0.0821062,  Residual: 2.25311e-05 
301 TAO,  Function value: 0.0821025,  Residual: 2.38999e-05 
302 TAO,  Function value: 0.0821008,  Residual: 2.45891e-05 
303 TAO,  Function value: 0.0820836,  Residual: 1.72173e-05 
304 TAO,  Function value: 0.0820831,  Residual: 0.000789432 
305 TAO,  Function value: 0.0820734,  Residual: 3.86826e-05 
306 TAO,  Function value: 0.082073,  Residual: 2.16979e-05 
307 TAO,  Function value: 0.082073,  Residual: 1.63405e-05 
308 TAO,  Function value: 0.0820725,  Residual: 0.000788535 
309 TAO,  Function value: 0.0820682,  Residual: 0.000788385 
310 TAO,  Function value: 0.082067,  Residual: 0.000788114 
311 TAO,  Function value: 0.0820654,  Residual: 8.20715e-06 
312 TAO,  Function value: 0.0820653,  Residual: 0.000165861 
313 TAO,  Function value: 0.0820609,  Residual: 0.000449702 
314 TAO,  Function value: 0.0820608,  Residual: 0.000643513 
315 TAO,  Function value: 0.0820605,  Residual: 0.000334815 
316 TAO,  Function value: 0.0820605,  Residual: 0.000326508 
317 TAO,  Function value: 0.0820605,  Residual: 0.000573636 
318 TAO,  Function value: 0.0820604,  Residual: 0.000194945 
319 TAO,  Function value: 0.0820604,  Residual: 0.000183218 
320 TAO,  Function value: 0.0820604,  Residual: 0.000509411 
321 TAO,  Function value: 0.0820604,  Residual: 0.000240876 
322 TAO,  Function value: 0.0820604,  Residual: 0.000411302 
323 TAO,  Function value: 0.0820604,  Residual: 0.000266482 
324 TAO,  Function value: 0.0820604,  Residual: 0.000333275 
325 TAO,  Function value: 0.0820603,  Residual: 0.000430921 
326 TAO,  Function value: 0.0820603,  Residual: 0.000445108 
327 TAO,  Function value: 0.0820603,  Residual: 0.000348508 
328 TAO,  Function value: 0.0820603,  Residual: 0.000324231 
329 TAO,  Function value: 0.0820603,  Residual: 0.000190361 
330 TAO,  Function value: 0.0820602,  Residual: 0.000232756 
331 TAO,  Function value: 0.0820601,  Residual: 0.000254964 
332 TAO,  Function value: 0.0820579,  Residual: 0.000296701 
333 TAO,  Function value: 0.0820574,  Residual: 0.000255698 
334 TAO,  Function value: 0.0820573,  Residual: 3.52205e-05 
335 TAO,  Function value: 0.0820573,  Residual: 0.000233681 
336 TAO,  Function value: 0.0820572,  Residual: 0.000198676 
337 TAO,  Function value: 0.0820571,  Residual: 0.000198626 
