  Iteration information for myTAO_ solve.
366 TAO,  Function value: 0.0172428,  Residual: 6.24385e-07 
367 TAO,  Function value: 0.0172428,  Residual: 6.09929e-07 
368 TAO,  Function value: 0.0172427,  Residual: 6.2143e-07 
369 TAO,  Function value: 0.0172427,  Residual: 6.13709e-07 
370 TAO,  Function value: 0.0172427,  Residual: 5.70634e-07 
371 TAO,  Function value: 0.0172427,  Residual: 5.31049e-07 
372 TAO,  Function value: 0.0172427,  Residual: 5.31786e-07 
373 TAO,  Function value: 0.0172427,  Residual: 5.18921e-07 
374 TAO,  Function value: 0.0172427,  Residual: 5.35111e-07 
375 TAO,  Function value: 0.0172427,  Residual: 5.05809e-07 
376 TAO,  Function value: 0.0172427,  Residual: 4.83179e-07 
377 TAO,  Function value: 0.0172427,  Residual: 4.80331e-07 
378 TAO,  Function value: 0.0172427,  Residual: 4.65741e-07 
379 TAO,  Function value: 0.0172427,  Residual: 4.35741e-07 
380 TAO,  Function value: 0.0172427,  Residual: 4.2203e-07 
381 TAO,  Function value: 0.0172427,  Residual: 4.27741e-07 
382 TAO,  Function value: 0.0172427,  Residual: 4.22417e-07 
383 TAO,  Function value: 0.0172427,  Residual: 4.19081e-07 
384 TAO,  Function value: 0.0172427,  Residual: 3.92531e-07 
385 TAO,  Function value: 0.0172427,  Residual: 3.70299e-07 
386 TAO,  Function value: 0.0172427,  Residual: 3.6779e-07 
387 TAO,  Function value: 0.0172427,  Residual: 3.57289e-07 
388 TAO,  Function value: 0.0172427,  Residual: 3.41507e-07 
389 TAO,  Function value: 0.0172427,  Residual: 3.34408e-07 
390 TAO,  Function value: 0.0172427,  Residual: 3.62736e-07 
391 TAO,  Function value: 0.0172427,  Residual: 3.3476e-07 
392 TAO,  Function value: 0.0172427,  Residual: 3.32686e-07 
393 TAO,  Function value: 0.0172426,  Residual: 3.39018e-07 
394 TAO,  Function value: 0.0172426,  Residual: 3.78798e-07 
395 TAO,  Function value: 0.0172426,  Residual: 3.60506e-07 
396 TAO,  Function value: 0.0172426,  Residual: 3.34513e-07 
397 TAO,  Function value: 0.0172426,  Residual: 3.06659e-07 
398 TAO,  Function value: 0.0172426,  Residual: 3.28275e-07 
399 TAO,  Function value: 0.0172426,  Residual: 3.0788e-07 
400 TAO,  Function value: 0.0172426,  Residual: 3.19327e-07 
401 TAO,  Function value: 0.0172426,  Residual: 3.30857e-07 
402 TAO,  Function value: 0.0172426,  Residual: 3.61802e-07 
403 TAO,  Function value: 0.0172426,  Residual: 3.93867e-07 
404 TAO,  Function value: 0.0172426,  Residual: 3.56749e-07 
405 TAO,  Function value: 0.0172426,  Residual: 3.29432e-07 
406 TAO,  Function value: 0.0172426,  Residual: 3.37493e-07 
407 TAO,  Function value: 0.0172426,  Residual: 3.45869e-07 
408 TAO,  Function value: 0.0172426,  Residual: 3.54397e-07 
409 TAO,  Function value: 0.0172426,  Residual: 3.61143e-07 
410 TAO,  Function value: 0.0172426,  Residual: 3.48912e-07 
411 TAO,  Function value: 0.0172426,  Residual: 3.41192e-07 
412 TAO,  Function value: 0.0172426,  Residual: 4.30673e-07 
413 TAO,  Function value: 0.0172426,  Residual: 3.79216e-07 
414 TAO,  Function value: 0.0172426,  Residual: 3.78772e-07 
415 TAO,  Function value: 0.0172426,  Residual: 3.99164e-07 
416 TAO,  Function value: 0.0172426,  Residual: 5.72505e-07 
417 TAO,  Function value: 0.0172426,  Residual: 4.90666e-07 
418 TAO,  Function value: 0.0172426,  Residual: 4.70615e-07 
419 TAO,  Function value: 0.0172426,  Residual: 4.56535e-07 
